county,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree","Percent; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Margin of Error; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent; Margin of Error; Percent high school graduate or higher
Franklin,15254,1260,8.3,2202,14.4,5969,39.1,2689,17.6,1182,7.7,1243,8.1,709,4.6,1.2,77.3,3.1
Fulton,674996,18528,2.7,37269,5.5,123821,18.3,116104,17.2,40534,6,201680,29.9,137060,20.3,0.4,91.7,0.3
Gilmer,21559,1640,7.6,2424,11.2,7561,35.1,4274,19.8,1655,7.7,2494,11.6,1511,7,1.3,81.1,2.1
Glascock,2067,194,9.4,269,13,876,42.4,423,20.5,111,5.4,148,7.2,46,2.2,1.3,77.6,3.7
Glynn,57587,1790,3.1,5077,8.8,15985,27.8,13592,23.6,4468,7.8,10305,17.9,6370,11.1,1.1,88.1,1.2
Gordon,37612,3559,9.5,5145,13.7,13019,34.6,8189,21.8,2553,6.8,3033,8.1,2114,5.6,0.9,76.9,1.8
Grady,16885,1432,8.5,2332,13.8,6111,36.2,3109,18.4,1584,9.4,1418,8.4,899,5.3,1.2,77.7,2.5
Greene,12443,801,6.4,1394,11.2,4066,32.7,2337,18.8,659,5.3,1733,13.9,1453,11.7,1.5,82.4,2.3
Gwinnett,562979,36099,6.4,34256,6.1,130320,23.1,111414,19.8,52070,9.2,131038,23.3,67782,12,0.4,87.5,0.5
Habersham,29498,2964,10,3516,11.9,9984,33.8,5692,19.3,1929,6.5,2982,10.1,2431,8.2,1.2,78,1.9
Hall,124695,14167,11.4,13026,10.4,34341,27.5,25605,20.5,8249,6.6,18303,14.7,11004,8.8,0.5,78.2,0.7
Hancock,6709,572,8.5,1454,21.7,2806,41.8,1067,15.9,226,3.4,330,4.9,254,3.8,1.6,69.8,4.1
Haralson,19468,1300,6.7,2791,14.3,7170,36.8,4387,22.5,1072,5.5,1533,7.9,1215,6.2,1.4,79,2.2
Harris,23065,630,2.7,1884,8.2,5648,24.5,6183,26.8,2410,10.4,3813,16.5,2497,10.8,1.3,89.1,1.5
Hart,18073,859,4.8,2543,14.1,7082,39.2,3685,20.4,1418,7.8,1502,8.3,984,5.4,1.1,81.2,2.2
Heard,7914,473,6,1083,13.7,3554,44.9,1475,18.6,478,6,488,6.2,363,4.6,1.2,80.3,2.4
Henry,138840,3994,2.9,9696,7,42012,30.3,32136,23.1,12181,8.8,24882,17.9,13939,10,0.8,90.1,0.7
Houston,97589,2599,2.7,6459,6.6,28221,28.9,25640,26.3,9911,10.2,15147,15.5,9612,9.8,0.9,90.7,0.9
Irwin,6360,296,4.7,840,13.2,2590,40.7,1027,16.1,773,12.2,410,6.4,424,6.7,2.5,82.1,4.2
Jackson,42968,2517,5.9,4879,11.4,14174,33,8939,20.8,3997,9.3,5506,12.8,2956,6.9,0.8,82.8,1.5
Jasper,9416,718,7.6,1529,16.2,3585,38.1,1929,20.5,666,7.1,539,5.7,450,4.8,1.7,76.1,3
Jeff Davis,9716,638,6.6,1594,16.4,3542,36.5,2174,22.4,767,7.9,579,6,422,4.3,1.5,77,4.2
Jefferson,10706,917,8.6,1818,17,4438,41.5,1697,15.9,700,6.5,805,7.5,331,3.1,1,74.5,2.6
Jenkins,5838,309,5.3,934,16,2478,42.4,1215,20.8,420,7.2,294,5,188,3.2,1.6,78.7,3.5
Johnson,6970,395,5.7,1307,18.8,3009,43.2,1185,17,406,5.8,418,6,250,3.6,1.5,75.6,3.8
Jones,19462,604,3.1,1666,8.6,7477,38.4,4174,21.4,1503,7.7,2393,12.3,1645,8.5,1.4,88.3,1.8
Lamar,11670,381,3.3,1307,11.2,4396,37.7,2519,21.6,920,7.9,1499,12.8,648,5.6,1.6,85.5,2.7
Lanier,6829,480,7,894,13.1,2272,33.3,1414,20.7,693,10.1,724,10.6,352,5.2,1.9,79.9,4.1
Laurens,31623,1668,5.3,3417,10.8,14000,44.3,5162,16.3,2491,7.9,2645,8.4,2240,7.1,0.9,83.9,1.4
Lee,19114,460,2.4,1671,8.7,5538,29,4265,22.3,2272,11.9,2881,15.1,2027,10.6,1.6,88.9,1.6
Liberty,35487,996,2.8,2245,6.3,11099,31.3,10825,30.5,3421,9.6,4787,13.5,2114,6,0.8,90.9,1
Lincoln,5687,333,5.9,634,11.1,2497,43.9,1115,19.6,421,7.4,449,7.9,238,4.2,1.3,83,3.2
Long,10865,429,3.9,1041,9.6,3347,30.8,3379,31.1,978,9,1093,10.1,598,5.5,1.9,86.5,2.9
Lowndes,66466,2967,4.5,7433,11.2,19510,29.4,13958,21,5818,8.8,9903,14.9,6877,10.3,1,84.4,1.1
Lumpkin,19786,1135,5.7,2168,11,5727,28.9,4203,21.2,1279,6.5,2977,15,2297,11.6,1.9,83.3,2.8
McDuffie,14103,699,5,1959,13.9,5590,39.6,2660,18.9,1039,7.4,1363,9.7,793,5.6,1.5,81.2,2.4
McIntosh,10558,468,4.4,1347,12.8,3807,36.1,2371,22.5,1091,10.3,877,8.3,597,5.7,2.3,82.8,3.7
Macon,9658,881,9.1,1750,18.1,3262,33.8,2403,24.9,532,5.5,504,5.2,326,3.4,1.3,72.8,3.7
Madison,19636,1230,6.3,2249,11.5,7417,37.8,3870,19.7,1587,8.1,1827,9.3,1456,7.4,1.4,82.3,2.3
Marion,6102,312,5.1,1084,17.8,2258,37,1369,22.4,318,5.2,426,7,335,5.5,1.8,77.1,4.1
Meriwether,14731,1033,7,2325,15.8,5780,39.2,3253,22.1,770,5.2,943,6.4,627,4.3,1.1,77.2,2.7
Miller,4095,218,5.3,515,12.6,1598,39,937,22.9,361,8.8,313,7.6,153,3.7,1.4,82.1,3.3
Mitchell,15298,907,5.9,2673,17.5,5888,38.5,2902,19,1047,6.8,1270,8.3,611,4,1.2,76.6,2.6
Monroe,18924,685,3.6,2313,12.2,6776,35.8,3623,19.1,1233,6.5,2322,12.3,1972,10.4,2,84.2,1.9
Montgomery,5966,400,6.7,715,12,2283,38.3,1254,21,390,6.5,525,8.8,399,6.7,1.8,81.3,3
Morgan,12387,440,3.6,1225,9.9,4293,34.7,2676,21.6,1020,8.2,1671,13.5,1062,8.6,1.9,86.6,2.5
Murray,26017,3216,12.4,5214,20,9650,37.1,4364,16.8,1075,4.1,1448,5.6,1050,4,1.2,67.6,2.4
Muscogee,127882,5299,4.1,10834,8.5,35456,27.7,32062,25.1,11024,8.6,20489,16,12718,9.9,0.6,87.4,0.7
Newton,66904,2815,4.2,7081,10.6,21816,32.6,16838,25.2,5051,7.5,8455,12.6,4848,7.2,0.9,85.2,1.3
Oconee,23495,356,1.5,973,4.1,4928,21,4175,17.8,1738,7.4,5398,23,5927,25.2,2.1,94.3,1
Oglethorpe,10457,804,7.7,1505,14.4,3767,36,1957,18.7,798,7.6,999,9.6,627,6,1.4,77.9,2.8
Paulding,97288,2945,3,6724,6.9,32067,33,23438,24.1,8403,8.6,15601,16,8110,8.3,0.8,90.1,0.9
Peach,17205,984,5.7,1460,8.5,5297,30.8,4641,27,1330,7.7,2049,11.9,1444,8.4,1.6,85.8,1.8
Pickens,22087,1252,5.7,2347,10.6,6362,28.8,4980,22.5,1654,7.5,3479,15.8,2013,9.1,1.4,83.7,1.8
Pierce,12969,696,5.4,1656,12.8,5208,40.2,2673,20.6,1093,8.4,851,6.6,792,6.1,1.6,81.9,2.7
Pike,12147,363,3,978,8.1,4989,41.1,3014,24.8,802,6.6,1346,11.1,655,5.4,1.1,89,1.7
Polk,27250,2416,8.9,3933,14.4,10399,38.2,5441,20,1603,5.9,2045,7.5,1413,5.2,0.9,76.7,2.6
Pulaski,8466,471,5.6,1217,14.4,3393,40.1,1743,20.6,577,6.8,570,6.7,495,5.8,1.9,80.1,4
Putnam,15663,600,3.8,1609,10.3,5779,36.9,3035,19.4,1282,8.2,2284,14.6,1074,6.9,1.4,85.9,2.5
Quitman,1658,105,6.3,388,23.4,640,38.6,340,20.5,47,2.8,87,5.2,51,3.1,2.8,70.3,7.5
Rabun,12302,630,5.1,1365,11.1,4108,33.4,2325,18.9,761,6.2,1741,14.2,1372,11.2,1.7,83.8,2.3
Randolph,4982,535,10.7,776,15.6,1747,35.1,1103,22.1,219,4.4,344,6.9,258,5.2,2.4,73.7,4.4
Richmond,130545,6380,4.9,15763,12.1,40231,30.8,30122,23.1,10578,8.1,16928,13,10543,8.1,0.6,83,0.8
Rockdale,57669,2592,4.5,4942,8.6,18611,32.3,11706,20.3,4958,8.6,9998,17.3,4862,8.4,0.9,86.9,1.2
Schley,3346,165,4.9,461,13.8,1154,34.5,831,24.8,277,8.3,271,8.1,187,5.6,1.9,81.3,3.4
Screven,9671,604,6.2,1140,11.8,3950,40.8,2003,20.7,550,5.7,919,9.5,505,5.2,1.1,82,2.3
Seminole,5940,304,5.1,644,10.8,2430,40.9,1303,21.9,364,6.1,554,9.3,341,5.7,1.6,84,3
Spalding,43193,2201,5.1,6198,14.3,16479,38.2,8410,19.5,2907,6.7,4527,10.5,2471,5.7,0.9,80.6,1.7
Stephens,17196,933,5.4,2225,12.9,6202,36.1,3254,18.9,1208,7,1824,10.6,1550,9,1.9,81.6,2.6
Stewart,4316,733,17,748,17.3,1653,38.3,492,11.4,155,3.6,416,9.6,119,2.8,1.3,65.7,4.4
Sumter,19209,1469,7.6,2632,13.7,6473,33.7,3802,19.8,1606,8.4,1683,8.8,1544,8,1.4,78.7,2.2
Talbot,4775,276,5.8,716,15,2054,43,780,16.3,353,7.4,393,8.2,203,4.3,1.6,79.2,3.5
Taliaferro,1361,171,12.6,249,18.3,646,47.5,142,10.4,60,4.4,75,5.5,18,1.3,1.3,69.1,5.8
Tattnall,17799,1318,7.4,3244,18.2,6931,38.9,3079,17.3,1043,5.9,1310,7.4,874,4.9,1.1,74.4,1.9
Taylor,5741,511,8.9,820,14.3,2068,36,1321,23,369,6.4,419,7.3,233,4.1,1.4,76.8,3.5
Telfair,12318,1366,11.1,2285,18.6,5836,47.4,1195,9.7,638,5.2,513,4.2,485,3.9,1.6,70.4,3.2
Terrell,6069,394,6.5,1076,17.7,1904,31.4,1467,24.2,573,9.4,351,5.8,304,5,1.5,75.8,3.2
Thomas,30451,1445,4.7,3889,12.8,9510,31.2,6313,20.7,2537,8.3,3643,12,3114,10.2,1.2,82.5,1.7
Tift,25690,1460,5.7,3122,12.2,8929,34.8,4823,18.8,3036,11.8,2154,8.4,2166,8.4,1,82.2,1.7
Toombs,17485,1400,8,1984,11.3,6798,38.9,3415,19.5,1116,6.4,1709,9.8,1063,6.1,1.1,80.6,2.3
Towns,8133,410,5,478,5.9,2472,30.4,1963,24.1,728,9,1232,15.1,850,10.5,2.2,89.1,2.3
Treutlen,4764,359,7.5,768,16.1,1703,35.7,912,19.1,283,5.9,455,9.6,284,6,2.4,76.3,5.2
Troup,44844,2494,5.6,4879,10.9,15913,35.5,10167,22.7,3073,6.9,5136,11.5,3182,7.1,0.8,83.6,1.3
Turner,5555,478,8.6,828,14.9,2094,37.7,972,17.5,433,7.8,473,8.5,277,5,2.1,76.5,5.1
Twiggs,6007,514,8.6,1372,22.8,2294,38.2,953,15.9,319,5.3,350,5.8,205,3.4,1.5,68.6,4.5
Union,17387,461,2.7,1508,8.7,6016,34.6,4002,23,1576,9.1,2091,12,1733,10,1.9,88.7,2.1
Upson,18022,1045,5.8,2711,15,6657,36.9,3695,20.5,1586,8.8,1425,7.9,903,5,1.1,79.2,2.3
Walker,48020,2685,5.6,6271,13.1,17810,37.1,10134,21.1,3682,7.7,4981,10.4,2457,5.1,0.8,81.3,1.5
Walton,58380,1585,2.7,6141,10.5,22246,38.1,12638,21.6,4696,8,7718,13.2,3356,5.7,0.7,86.8,0.9
Ware,24214,1101,4.5,3168,13.1,10011,41.3,4906,20.3,1769,7.3,1912,7.9,1347,5.6,1.2,82.4,2.2
Warren,3962,369,9.3,618,15.6,1738,43.9,475,12,218,5.5,336,8.5,208,5.2,1.9,75.1,3.9
Washington,14069,931,6.6,2063,14.7,5881,41.8,2569,18.3,785,5.6,1244,8.8,596,4.2,0.9,78.7,2
Wayne,20139,1312,6.5,2463,12.2,8006,39.8,4013,19.9,1783,8.9,1504,7.5,1058,5.3,1.1,81.3,2.5
Webster,1804,104,5.8,240,13.3,885,49.1,250,13.9,122,6.8,116,6.4,87,4.8,2.7,80.9,5.7
Wheeler,5426,338,6.2,918,16.9,2699,49.7,688,12.7,345,6.4,381,7,57,1.1,0.6,76.9,4
White,20066,673,3.4,2288,11.4,6368,31.7,4825,24,1853,9.2,2396,11.9,1663,8.3,1.4,85.2,2.1
Whitfield,66225,9296,14,11309,17.1,19162,28.9,13663,20.6,3149,4.8,6158,9.3,3488,5.3,0.7,68.9,1.5
Wilcox,6390,367,5.7,864,13.5,3183,49.8,974,15.2,330,5.2,390,6.1,282,4.4,1.3,80.7,2.4
Wilkes,6979,526,7.5,968,13.9,2900,41.6,1191,17.1,395,5.7,541,7.8,458,6.6,1.9,78.6,2.7
Wilkinson,6253,325,5.2,762,12.2,3259,52.1,1013,16.2,333,5.3,345,5.5,216,3.5,1,82.6,2.7
Worth,14137,1018,7.2,2076,14.7,5533,39.1,2663,18.8,1288,9.1,954,6.7,605,4.3,1.6,78.1,2.5
